Strategy,Buy Threshold,Sell Threshold,Order Size %,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Volatility %,Win Rate %,Total Trades,Final Equity $,vs Buy&Hold %
Conservative,30,70,3.0,55484.5117822613,263.9560090326453,-61.27915443760143,2.592370745108061,4.642318911185621,4.30743556198092,101.0488216343939,37.60492445439284,596,5558451.17822613,42518.16874258841
Moderate,25,75,5.0,3354400.6283560377,741.4066145486096,-129.46926781674853,0.6626177186390819,0.6431811145954278,5.72650658377091,1115.8871755908378,47.95747062115277,420,335450062.8356038,3341434.285316365
Aggressive,20,80,7.0,1582355.1491316545,621.6278089672368,-131.94378839070248,0.11032641387400698,0.0819517762575289,4.711307872459423,5616.314237086081,49.076664801343036,257,158245514.91316545,1569388.8060919817
Extreme,15,85,10.0,620973.0935218658,496.0616782430675,-134.18313134069757,0.1395662922409758,0.09640072374691035,3.6969004470729074,3539.978531420885,49.3564633463906,181,62107309.352186576,608006.7504821928
